timestamp;vehicle_gps_position.lat;vehicle_gps_position.lon;vehicle_gps_position.alt;vehicle_gps_position.eph;vehicle_gps_position.epv;vehicle_gps_position.hdop;vehicle_gps_position.vdop;vehicle_gps_position.noise_per_ms;vehicle_gps_position.satellites_used;vehicle_air_data.baro_alt_meter;vehicle_local_position.dist_bottom;vehicle_local_position.z
249471990;473063991;388901534;79672;0.92100006;1.148;0.71999997;0.85999995;98;17;112.31179;0.10091138;2.3932512
249481897;473063991;388901534;79672;0.92100006;1.148;0.71999997;0.85999995;98;17;112.45976;0.10083413;2.393256
249581799;473063991;388901534;79672;0.92100006;1.148;0.71999997;0.85999995;98;17;112.60773;0.103857994;2.3945823
249671780;473063991;388901534;79672;0.92100006;1.148;0.71999997;0.85999995;98;17;112.60773;0.10118985;2.3946974
249781770;473063991;388901533;79672;0.92200005;1.151;0.71999997;0.85999995;98;17;112.31179;0.1;2.3952389
249871951;473063991;388901533;79672;0.92200005;1.151;0.71999997;0.85999995;98;17;112.31179;0.1;2.3946197
249971784;473063991;388901533;79672;0.92200005;1.151;0.71999997;0.85999995;98;17;112.269516;0.10056877;2.394403
250081692;473063991;388901533;79672;0.92200005;1.151;0.71999997;0.85999995;98;17;112.269516;0.1011014;2.3937664
250171807;473063993;388901532;79662;0.924;1.153;0.71999997;0.85999995;98;17;112.35407;0.10561204;2.3953822
250281807;473063993;388901532;79662;0.924;1.153;0.71999997;0.85999995;98;17;112.35407;0.10532236;2.3956718
250371712;473063993;388901532;79662;0.924;1.153;0.71999997;0.85999995;98;17;112.41748;0.10578871;2.3974798
250481678;473063993;388901532;79662;0.924;1.153;0.71999997;0.85999995;98;17;112.41748;0.10414195;2.3991265
250571753;473063993;388901532;79662;0.924;1.153;0.71999997;0.85999995;98;17;112.39635;0.10432911;2.3989394
250671578;473063994;388901531;79661;0.929;1.159;0.71999997;0.85999995;98;17;112.39635;0.10506153;2.398207
250781561;473063994;388901531;79661;0.929;1.159;0.71999997;0.85999995;98;17;112.39635;0.104744196;2.3993495
250871550;473063994;388901531;79661;0.929;1.159;0.71999997;0.85999995;98;17;112.39635;0.10385275;2.400241
250981670;473063994;388901531;79661;0.929;1.159;0.71999997;0.85999995;98;17;112.18496;0.10269117;2.4014559
251071646;473063994;388901531;79661;0.929;1.159;0.71999997;0.85999995;98;17;112.18496;0.10296059;2.4011865
251181525;473063994;388901530;79661;0.93200004;1.1620001;0.71999997;0.85999995;98;17;112.52317;0.10415459;2.3999925
251271519;473063994;388901530;79661;0.93200004;1.1620001;0.71999997;0.85999995;98;17;112.52317;0.10600495;2.398142
251371580;473063994;388901530;79661;0.93200004;1.1620001;0.71999997;0.85999995;98;17;112.31179;0.111121655;2.3930254
251481483;473063994;388901530;79661;0.93200004;1.1620001;0.71999997;0.85999995;98;17;112.31179;0.12688494;2.377262
251571439;473063994;388901530;79661;0.93200004;1.1620001;0.71999997;0.85999995;98;17;112.75307;0.14521766;2.3589294
251681626;473063994;388901528;79775;0.938;1.1680001;0.71999997;0.85999995;98;17;112.75307;0.18131709;2.32283
251771522;473063994;388901528;79775;0.938;1.1680001;0.71999997;0.85999995;98;17;112.62623;0.22030163;2.2838454
251881564;473063994;388901528;79775;0.938;1.1680001;0.71999997;0.85999995;98;17;112.62623;0.28474784;2.2193992
251971489;473063994;388901528;79775;0.938;1.1680001;0.71999997;0.85999995;98;17;112.54432;0.34085727;2.1632898
252071550;473063994;388901528;79775;0.938;1.1680001;0.71999997;0.85999995;98;17;112.54432;0.41370702;2.09044
252181371;473063995;388901527;80091;0.943;1.1730001;0.72999996;0.9;98;16;112.922165;0.49584866;2.0082984
252271422;473063995;388901527;80091;0.943;1.1730001;0.72999996;0.9;98;16;112.922165;0.5661192;1.9380279
252381308;473063995;388901527;80091;0.943;1.1730001;0.72999996;0.9;98;16;112.54432;0.65550256;1.8486445
252471393;473063995;388901527;80091;0.943;1.1730001;0.72999996;0.9;98;16;112.54432;0.7371205;1.7670265
252581467;473063995;388901527;80091;0.943;1.1730001;0.72999996;0.9;98;16;112.98559;0.8435941;1.660553
252671263;473063998;388901532;80770;0.95100003;1.1830001;0.71999997;0.85999995;98;17;112.98559;0.94259524;1.5615518
252781204;473063998;388901532;80770;0.95100003;1.1830001;0.71999997;0.85999995;98;17;113.38457;1.0733738;1.4307733
252871206;473063998;388901532;80770;0.95100003;1.1830001;0.71999997;0.85999995;98;17;113.38457;1.1910069;1.3131402
252971331;473063998;388901532;80770;0.95100003;1.1830001;0.71999997;0.85999995;98;17;113.44799;1.32601;1.1781371
253081166;473063998;388901532;80770;0.95100003;1.1830001;0.71999997;0.85999995;98;17;113.44799;1.4799098;1.0242373
253171117;473064004;388901530;81387;0.95400006;1.1860001;0.69;0.84999996;98;18;113.743935;1.6060379;0.89810914
253281403;473064004;388901530;81387;0.95400006;1.1860001;0.69;0.84999996;98;18;113.743935;1.7584811;0.7456659
253371323;473064004;388901530;81387;0.95400006;1.1860001;0.69;0.84999996;98;18;114.20634;1.8812972;0.6228498
253481127;473064004;388901530;81387;0.95400006;1.1860001;0.69;0.84999996;98;18;114.20634;2.0259724;0.47817466
253581276;473064004;388901530;81387;0.95400006;1.1860001;0.69;0.84999996;98;18;114.48114;2.1524324;0.35171455
253671295;473064008;388901527;82221;0.95900005;1.192;0.69;0.84999996;98;18;114.48114;2.2600048;0.24414232
253781042;473064008;388901527;82221;0.95900005;1.192;0.69;0.84999996;98;18;114.49963;2.3912692;0.11287787
253871048;473064008;388901527;82221;0.95900005;1.192;0.69;0.84999996;98;18;114.49963;2.492422;0.011724881
253981043;473064008;388901527;82221;0.95900005;1.192;0.69;0.84999996;98;18;115.06773;2.614472;-0.11032496
254071202;473064008;388901527;82221;0.95900005;1.192;0.69;0.84999996;98;18;115.06773;2.7025266;-0.19837949
254181186;473064014;388901528;82589;0.961;1.1930001;0.69;0.84999996;98;18;115.06773;2.7988353;-0.29468817
254281327;473064014;388901528;82589;0.961;1.1930001;0.69;0.84999996;98;18;115.06773;2.8689313;-0.36478433
254371175;473064014;388901528;82589;0.961;1.1930001;0.69;0.84999996;98;18;115.08887;2.9244561;-0.42030895
254481074;473064014;388901528;82589;0.961;1.1930001;0.69;0.84999996;98;18;115.08887;2.9732866;-0.46913952
254571014;473064014;388901528;82589;0.961;1.1930001;0.69;0.84999996;98;18;115.08887;3.00492;-0.50077283
254680997;473064043;388901529;82721;0.96300006;1.1910001;0.69;0.84999996;98;18;115.08887;3.025311;-0.52116394
254771106;473064043;388901529;82721;0.96300006;1.1910001;0.69;0.84999996;98;18;115.23685;3.0406437;-0.5364967
254881065;473064043;388901529;82721;0.96300006;1.1910001;0.69;0.84999996;98;18;115.23685;3.0516973;-0.5475501
254980877;473064043;388901529;82721;0.96300006;1.1910001;0.69;0.84999996;98;18;115.15229;3.0665097;-0.5623628
255071227;473064043;388901529;82721;0.96300006;1.1910001;0.69;0.84999996;98;18;115.15229;3.0837612;-0.5796143
255180984;473064072;388901533;82745;0.96400005;1.192;0.69;0.84999996;98;18;115.34254;3.1105378;-0.6063908
255271016;473064072;388901533;82745;0.96400005;1.192;0.69;0.84999996;98;18;115.34254;3.133408;-0.62926114
255380898;473064072;388901533;82745;0.96400005;1.192;0.69;0.84999996;98;18;115.405945;3.1597083;-0.65556115
255470829;473064072;388901533;82745;0.96400005;1.192;0.69;0.84999996;98;18;115.405945;3.1786127;-0.6744657
255580803;473064072;388901533;82745;0.96400005;1.192;0.69;0.84999996;98;18;115.57242;3.19738;-0.6932331
255680789;473064115;388901537;82824;0.96700007;1.192;0.69;0.84999996;98;18;115.57242;3.2101839;-0.70603675
255780958;473064115;388901537;82824;0.96700007;1.192;0.69;0.84999996;98;18;115.300255;3.2214339;-0.7172869
255881009;473064115;388901537;82824;0.96700007;1.192;0.69;0.84999996;98;18;115.300255;3.230012;-0.72586495
255970961;473064115;388901537;82824;0.96700007;1.192;0.69;0.84999996;98;18;115.46937;3.2358928;-0.73174566
256080843;473064115;388901537;82824;0.96700007;1.192;0.69;0.84999996;98;18;115.46937;3.2393067;-0.7351596
256170648;473064144;388901538;82854;0.96800005;1.192;0.69;0.84999996;98;18;115.46937;3.2419772;-0.7378301
256280862;473064144;388901538;82854;0.96800005;1.192;0.69;0.84999996;98;18;115.46937;3.2419584;-0.7378114
